learn_rate,num_hidden_nodes,weight_range,beta,c,error
2.125,11,2.375,480,460,0.131554364
2.25,10,2.25,100,340,0.131577962
2.125,10,2.375,440,480,0.13160528
2.125,10,2.375,420,480,0.131613699
2,9,2.375,400,400,0.131616482
2.375,8,2.5,440,440,0.131634569
2.375,11,2.125,480,480,0.131665522
2.25,9,2.375,440,440,0.131667134
2.5,10,2.25,420,420,0.131668519
2.25,8,2.5,460,420,0.131795117
2,9,2.25,440,440,0.131801507
2.375,8,2.25,460,440,0.131843677
2,9,2.25,420,460,0.131860865
2,10,2.25,460,480,0.131872607
2.25,10,2.25,440,440,0.13187723
2.5,8,2.25,460,440,0.131892059
2.25,10,2.25,420,420,0.131901177
1.75,10,2.25,420,420,0.131906212
2.5,8,2.5,440,460,0.13192825
2.125,10,2.25,460,420,0.131928773
2,9,2.375,440,440,0.131939084
2.25,8,2.5,180,340,0.132057864
2.125,8,2.5,400,400,0.132095084
2.25,10,2.5,340,420,0.132104823
2.375,10,2.25,420,460,0.132121901
2.25,8,2.375,460,400,0.13212324
2.5,9,2.5,460,440,0.13214755
2.25,8,2.375,440,440,0.132152122
2.5,8,2.375,400,400,0.132153632
2.375,9,2.375,480,420,0.132177792
2.5,10,2.5,340,420,0.132300063
2.375,10,2.25,460,480,0.132335673
2,11,2.125,460,480,0.132340829
2,11,2.25,480,440,0.132395831
2.25,9,2.5,440,400,0.132401289
2.25,10,2.25,460,420,0.132491982
2.5,10,2.375,440,480,0.132505086
2.125,11,2.25,480,400,0.132535068
2,9,2.25,460,480,0.132578397
2,10,2,460,440,0.132586868
2,11,2.375,480,460,0.132596206
2.5,11,2.25,480,440,0.132596415
2.5,10,2.25,420,420,0.132616422
2.25,10,2.25,420,460,0.13268128
2.375,9,2.375,440,440,0.13268957
2.5,10,2.125,480,460,0.132693219
2.375,11,2.125,480,400,0.132710407
2.5,9,2.375,440,440,0.132723322
2.375,9,2.25,440,440,0.132724949
2.25,9,2.5,460,420,0.132777406
2.375,8,2.5,400,400,0.132780588
2,9,2.5,420,440,0.132807251
2,9,2.25,480,440,0.132849795
2,9,2.375,460,400,0.132891943
2.5,9,2.25,440,460,0.132915241
2.5,8,2.375,460,480,0.132925866
1.5,10,2.25,340,260,0.132927318
2.5,8,2.25,260,420,0.132970666
2.5,9,2.5,420,400,0.132996037
2.375,9,2.5,460,440,0.13301169
2.25,8,2.375,460,480,0.133140864
2.5,10,2.25,460,480,0.133156526
2.5,11,2.125,480,480,0.13319971
2.375,10,2.25,440,440,0.133206962
2.375,9,2.25,460,480,0.133209975
2.5,9,2.375,480,480,0.133265951
2,10,2.375,460,480,0.133311033
1.75,12,2,260,420,0.133317976
2.5,9,2.25,420,400,0.133363172
2.5,9,2.5,480,480,0.133399375
2.25,8,2.5,440,440,0.133446076
2.375,8,2.25,460,420,0.133465596
2,8,2.25,100,260,0.133495772
2.375,9,2.5,480,480,0.13350225
2.375,10,2.25,480,440,0.133509429
2.375,8,2.375,440,420,0.133547973
2.375,10,2.25,400,480,0.13360732
2.375,10,2.375,440,480,0.133619604
2,10,2.25,460,420,0.133684746
2.5,8,2.375,420,440,0.13370933
2.5,10,2.375,420,480,0.133796007
2.5,8,2.375,440,440,0.133800431
2,11,2.25,460,440,0.13381513
2.5,11,2.125,480,400,0.133841973
1.75,12,2.25,420,340,0.133865329
2.125,10,2.25,460,460,0.133918285
2.5,10,2.25,480,480,0.133924167
2.125,10,2.25,460,480,0.133960589
2,12,2.25,420,340,0.133983649
2,8,2.5,460,460,0.133992054
2.5,9,2.25,480,460,0.134012181
2.25,8,2.5,440,460,0.134081335
2,10,2.25,400,480,0.13410521
2.125,9,2.5,460,440,0.134128064
2.5,10,2.25,460,400,0.134161716
2.125,10,2.25,400,400,0.134166277
2.375,9,2.25,480,460,0.134174228
2.25,11,2.125,480,480,0.134257852
1.5,12,2,420,340,0.134306224
2.5,10,2.25,340,260,0.13445141
2.5,11,2.375,420,460,0.134454029
2.25,9,2.25,480,460,0.134521201
2.25,12,2.25,420,340,0.134600782
2.125,11,2.125,460,480,0.134610679
2,11,2.125,400,420,0.134648676
2.25,6,2.5,260,420,0.134677227
2.125,8,2.375,460,480,0.134723619
2.5,8,2.5,180,340,0.13472516
2.5,11,2.375,480,420,0.134740141
2,10,2.5,480,420,0.134756628
2.375,9,2.5,400,420,0.134829343
2.25,8,2.25,440,480,0.134831283
2.5,8,2.5,400,420,0.134869388
2,8,2.5,400,400,0.135006374
2.5,9,2.375,460,440,0.13504397
2.375,10,2.375,400,460,0.135055325
1.75,12,2,420,340,0.135086258
2.5,9,2.25,440,440,0.135089812
2,12,2.25,340,340,0.135091909
2.5,9,2.25,460,400,0.135122946
2.25,9,2.25,480,440,0.13512523
2.375,8,2.5,400,420,0.135141834
