error,learn_rate,num_hidden_nodes,weight_range,beta,c
1.767593731,2.528494507,12,1.615755686,468,484
1.772172623,2.955929388,13,1.822718727,493,452
1.77284564,2.711156688,11,1.88946321,451,458
1.781664306,2.00996618,15,1.741880266,467,461
1.783848507,2.76655597,11,2.196978441,490,497
1.790325552,2.153176945,11,1.61185533,459,472
1.79061937,2.85309005,12,2.416460551,499,464
1.791319056,2.921538713,10,2.327208832,474,499
1.791824308,2.951498602,10,1.760551679,465,462
1.793189298,2.278614323,12,2.218050822,482,452
1.793359032,2.287070717,15,1.670384935,451,461
1.794138253,2.690449545,11,1.546861515,481,470
1.795369076,2.031665583,14,1.642705807,496,486
1.800343878,2.271001222,14,1.51222565,475,480
1.806908983,2.114599863,11,2.157594269,493,473
1.807086665,2.165617001,11,1.895720436,474,484
1.807783633,2.596164425,13,2.479488463,493,497
1.808798386,2.642007326,14,1.820082003,477,473
1.809353154,2.208153163,12,2.376667036,474,479
1.811417886,2.564096919,15,1.953903032,457,452
1.812124201,2.493252118,12,1.80571328,483,495
1.813448054,2.068312736,11,2.040832037,495,478
1.816345039,2.82301167,14,1.826744743,459,499
1.818657941,2.138762311,13,1.591017594,490,482
1.820817204,2.791531989,11,1.601479137,493,457
1.822760438,2.654150266,11,2.02837396,469,492
1.825060772,2.546233739,15,2.041688025,497,450
1.825117481,2.379901794,15,2.127027319,479,467
1.825672238,2.899389598,15,1.627115506,450,459
1.826224709,2.046984617,11,1.785779652,468,489
1.826938652,2.934873107,13,1.518739621,472,472
1.828457513,2.273374797,12,1.522911798,475,473
1.828629893,2.623967229,12,1.94544169,460,475
1.829370659,2.516940219,10,1.649698663,457,486
1.837301846,2.332382089,13,1.617523249,473,499
1.83893643,2.229841804,14,1.587217675,457,463
1.839422438,2.928549114,12,2.478524821,497,451
1.839462296,2.8340599,14,2.079316477,492,481
1.842993857,2.283975247,11,2.444895837,477,496
1.844578769,2.040494188,13,1.792765461,477,450
1.846243875,2.318337899,11,2.219393486,459,467
1.847828557,2.38762375,14,1.867709226,492,488
1.850111228,2.194463507,10,2.079252653,452,452
1.851982596,2.347646256,11,2.471745023,493,498
1.852145936,2.359042879,11,2.094838337,483,466
1.856423229,2.251596004,11,1.560078542,459,483
1.864818219,2.878751273,14,2.127497277,458,462
1.865467644,2.733828429,11,1.52637134,471,473
1.86577682,2.555886754,13,1.574147933,460,454
1.865885729,2.144501398,12,2.083532624,467,461
1.866040779,2.002335836,11,2.300440016,459,469
1.866541,2.315823248,13,1.601603097,487,480
1.870698468,2.467612394,10,1.511232971,488,491
1.871895974,2.827489823,11,2.397881947,499,471
1.872093635,2.878043116,11,1.81093656,499,499
1.873516141,2.791168737,13,1.6588377,484,452
1.873855587,2.76903455,14,2.202747023,450,469
1.875069142,2.937443909,13,1.633197757,495,479
1.885187106,2.4746161,13,1.736362982,456,466
1.890005902,2.565755159,13,2.072366618,498,451
1.891364607,2.097472349,11,1.637555681,470,483
1.894773161,2.352874799,12,2.002592861,464,456
1.89627655,2.266988952,12,2.086187472,469,480
1.900687041,2.4686993,12,1.625454426,488,497
1.901013337,2.017516069,15,1.740032711,468,500
1.902683422,2.105691406,11,2.136533426,465,464
1.903487297,2.714061557,12,2.29124055,492,460
1.903800724,2.120148605,15,1.97049974,459,499
1.908528604,2.132488717,10,2.30110406,477,481
1.91006973,2.839884895,13,1.90101617,483,461
1.921245722,2.759651804,14,2.034784293,499,469
1.92157028,2.873822747,11,1.923046612,482,474
1.923086145,2.585581207,11,2.099794545,484,500
1.924140704,2.176637344,11,1.623214528,492,460
1.924721917,2.430026954,15,1.919279611,454,495
1.92480259,2.198904702,11,1.829528026,465,453
1.92587528,2.93951069,13,1.96527387,475,496
1.928062431,2.699031007,14,1.686996873,462,484
1.9303296,2.316946127,12,2.438558255,455,458
1.930390484,2.966895374,13,1.940545479,457,463
1.930809308,2.545296586,11,2.313765827,470,471
1.933964397,2.502529831,12,2.14013496,483,465
1.935756917,2.412185102,15,2.280570652,485,491
1.937145186,2.725205041,12,2.204236616,462,474
1.940056142,2.971219968,10,2.120271348,454,484
1.941163454,2.297145021,11,2.319834495,459,485
1.941323533,2.332240502,14,1.863336248,474,480
1.941584206,2.506493484,13,1.844727856,457,461
1.941608703,2.569245872,11,2.429540305,472,498
1.942726065,2.306675798,11,2.444608571,499,469
1.945231523,2.736776981,12,1.860614195,490,466
1.947961297,2.745145673,11,2.113526482,478,455
1.949153518,2.778679405,13,1.973691657,496,493
1.950548954,2.691083103,11,2.410974207,493,493
1.952462784,2.57926968,14,2.351303531,487,460
1.956488737,2.090034599,14,1.943200535,492,464
1.967499501,2.429533748,12,1.810746685,486,481
1.970673412,2.291963536,10,2.031208741,491,452
1.971259374,2.580884375,13,2.289730683,477,470
1.971765367,2.644995095,14,1.611853763,453,467
1.98751009,2.495088994,12,1.771372267,499,490
1.989249065,2.645050444,15,2.138901534,472,484
1.993080971,2.692703195,13,1.793313095,487,458
1.993089463,2.860090053,11,2.130835118,470,493
1.993941177,2.616561516,15,1.919217167,463,453
1.996458469,2.513348817,13,1.588391266,457,498
1.998052317,2.739006079,12,1.621386002,494,459
2.007116998,2.418654189,15,1.78087634,458,473
2.007230999,2.375592104,10,2.395187605,494,470
2.008507342,2.299439535,14,1.947483589,457,469
2.015693528,2.591570465,14,1.734911544,463,452
2.015716807,2.565828215,13,1.839398358,459,459
2.018878445,2.862773759,10,1.741254593,454,455
2.019765198,2.399361551,11,1.939099141,496,467
2.019889973,2.581700029,11,2.132163142,484,453
2.020905474,2.129698649,14,1.993480135,466,491
2.023231309,2.575461241,10,1.576609929,475,480
2.024789018,2.559190885,14,1.776605256,466,484
2.027619034,2.890430206,13,2.30239884,489,477
2.030844149,2.048837272,11,1.848854852,487,465
2.034587179,2.906198427,15,1.649837639,488,491
2.035734158,2.411378125,11,1.615040523,469,463
2.036849127,2.409919941,13,2.374747244,455,488
2.03824161,2.798739535,15,1.611844518,493,489
2.038242209,2.399166189,13,1.846809878,500,497
2.042490782,2.66323349,13,2.305766275,478,470
2.043818244,2.796827561,11,1.931491311,495,477
2.046382474,2.430031933,11,1.823715968,462,454
2.048618918,2.684773221,11,2.110107221,459,483
2.051664836,2.904353251,11,2.085032233,481,471
2.068341469,2.818570814,11,1.685523365,464,451
2.07367162,2.211339421,12,1.967372727,471,475
2.07446955,2.69932178,11,1.752364719,489,462
2.07604588,2.606917603,14,1.815907463,485,471
2.076382933,2.077357826,14,1.868929514,467,468
2.078489366,2.585979329,13,1.940228547,472,494
2.079005207,2.593687643,13,1.681696199,459,491
2.079901418,2.065386036,15,1.913285011,456,485
2.080735528,2.670656008,11,1.790404815,470,453
2.081478916,2.676808038,12,1.731817221,451,472
2.081513432,2.504687762,11,2.070417636,484,471
2.08219966,2.670147982,14,1.690342278,453,461
2.085544961,2.075816856,10,2.020556832,483,486
2.089476631,2.750037607,12,2.056498425,480,485
2.092411334,2.095342067,10,2.05311386,476,491
2.092640757,2.597299538,15,2.262725746,498,464
2.093013378,2.962693019,12,1.504059969,492,455
2.094659618,2.207184832,13,1.782891451,489,498
2.094802851,2.93482134,14,1.512675066,499,464
2.098344053,2.284463444,12,2.009426729,489,452
2.098383562,2.298796469,15,1.577499224,455,460
2.098672608,2.238369047,12,2.109233545,468,471
2.102258732,2.924430194,11,1.622859739,466,470
2.103637732,2.175135356,13,1.524136584,477,472
2.105127912,2.836753272,11,2.457938681,483,485
2.105355912,2.934121337,14,1.716568377,466,492
2.108182102,2.336840478,13,2.073191327,494,484
2.111997887,2.953059183,12,1.500290183,467,493
2.112256539,2.464341371,10,1.749873477,467,453
2.11462791,2.344201577,15,2.026975369,476,498
2.115408914,2.794734573,11,2.296586034,492,473
2.11561505,2.974090572,13,2.093027928,456,472
2.116220668,2.470340905,13,2.166672191,472,482
2.119711925,2.350069215,13,1.542846005,493,487
2.120388391,2.614309387,12,1.933880735,493,459
2.129487593,2.232500069,12,1.82178951,457,464
2.130717477,2.236574348,15,2.055989311,473,455
2.132108092,2.504789007,12,2.006177877,450,456
2.132754876,2.539777072,12,1.721474448,460,465
2.13372973,2.424783368,14,2.359401212,483,484
2.134738301,2.031490974,14,1.766508283,465,499
2.135845576,2.53130932,15,1.581782927,480,466
2.137712687,2.41573949,14,2.075443465,488,497
2.140466,2.081163832,13,1.754846631,478,483
