,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
915,5.45770675,"[0.9507781952553118, 3, 2.9417015254558896, 32.0687688740267]"
805,5.4598005,"[0.6119034888055158, 3, 3.4386946938494596, 17.233923994888553]"
170,5.46539425,"[0.3632200476026366, 5, 3.0778041194605246, 2.4662607344922214]"
964,5.481613,"[0.49654855894839195, 2, 1.5811030373290227, 38.54590519927824]"
83,5.4818005,"[0.676376335716244, 4, 3.0152730682475575, 26.351633882632804]"
408,5.49033175,"[0.990111273613894, 5, 4.290236798342993, 36.701975069065455]"
486,5.49464425,"[0.40856156501297786, 4, 1.28757785403661, 43.419306843387474]"
323,5.4959255,"[0.8092627791363491, 6, 1.8473318595005397, 1.832277147558004]"
214,5.511738,"[0.5832650205325455, 6, 4.10560804425978, 42.562279305411025]"
599,5.52451925,"[0.7699520534544628, 2, 1.1235338968504247, 29.27260732096521]"
600,5.531613,"[0.8789279123985722, 2, 3.8171150172544213, 27.66375519769958]"
773,5.53470675,"[0.10606948906403867, 4, 0.8604431755419872, 44.63217165463051]"
93,5.55401925,"[0.575189984644137, 3, 1.943211913699297, 31.816267932574405]"
191,5.57939425,"[0.8722794379980832, 3, 0.8260681468803617, 46.80884210796298]"
697,5.582988,"[0.8360602071271478, 5, 2.93755308047813, 1.795914318953779]"
169,5.591988,"[0.48579026525146807, 5, 3.7930167128392345, 40.894028861228215]"
285,5.61539425,"[0.6979294629576268, 6, 4.03370944767105, 43.031641255962754]"
738,5.63351925,"[0.543821128973014, 5, 1.216676539472002, 41.674150924272226]"
23,5.644738,"[0.2139138734122854, 3, 1.2721446916335717, 20.460423829075552]"
774,5.644988,"[0.6907733466703824, 5, 4.870623992563117, 31.203001019774106]"
681,5.669988,"[0.4705463987337041, 2, 3.730853439691301, 7.509807209525245]"
249,5.6700505,"[0.905058900706032, 6, 4.798785047419721, 16.309555533740514]"
37,5.68270675,"[0.12993985161624247, 4, 0.8970011199463572, 9.997555758678958]"
528,5.68776925,"[0.931530502646873, 3, 0.9609006122466957, 12.401135945248262]"
945,5.69258175,"[0.7648111009528615, 5, 3.2849479724985575, 25.33424984840832]"
603,5.6944255,"[0.29118509191926184, 6, 1.1060945968647709, 6.6983715183127135]"
621,5.72758175,"[0.19725713482231547, 4, 2.5733152812800757, 14.148304798164387]"
174,5.733488,"[0.24721991310408503, 5, 1.7612755479821631, 42.144106499212434]"
496,5.73801925,"[0.4927882779647978, 3, 4.252888108980609, 14.965130711818794]"
135,5.74783175,"[0.5445953566966716, 3, 1.2893380055679835, 31.119425364182714]"
29,5.75633175,"[0.8715554893407004, 6, 2.633723998475247, 15.18792587994552]"
90,5.7653005,"[0.4260959543666494, 5, 2.521652238594527, 41.58463045017689]"
921,5.77676925,"[0.4612908346965689, 4, 1.9795299324296414, 26.96552186273204]"
358,5.781738,"[0.46444702527590187, 5, 0.9496430039982522, 15.288977820116715]"
583,5.8004255,"[0.3216093524180352, 6, 4.3836901571624365, 45.51579564312777]"
415,5.82351925,"[0.763501358648554, 4, 1.0163417935054646, 16.770391433020745]"
250,5.8290505,"[0.4100774824336559, 2, 1.873457877020702, 46.469710378615254]"
407,5.84376925,"[0.751957887051627, 4, 2.121694304758762, 36.035452443996455]"
883,5.8469255,"[0.647019325336004, 4, 1.759344935180415, 39.61307782212716]"
690,5.86095675,"[0.093937367051487, 6, 0.6687261993061391, 10.05391091087329]"
333,5.885113,"[0.6253182637940605, 3, 2.2094493336066856, 34.207718410260995]"
632,5.8909255,"[0.7081868389882782, 3, 4.042318877354267, 21.267708724234126]"
803,5.90301925,"[0.5742774636010776, 4, 2.143852942192351, 48.108398106950744]"
789,5.9144255,"[0.6534385334608702, 2, 2.841913492706813, 26.72337234955628]"
551,5.9271755,"[0.8131181406579618, 5, 0.7907669517691645, 41.713708229251424]"
926,5.94033175,"[0.5386888477146254, 3, 1.901887484961696, 48.96594113090803]"
331,5.95151925,"[0.4772660225403398, 2, 2.3810102286439947, 37.15340782991765]"
368,5.95995675,"[0.8329473841003356, 6, 0.7087554433591414, 28.31030487014442]"
353,5.9699255,"[0.8797696548762488, 5, 2.275612264020139, 14.912118378478342]"
324,5.9801755,"[0.5893216412052786, 5, 1.1616086832013772, 42.91014039551478]"
460,5.99764425,"[0.6013865635563973, 5, 1.4964646728898772, 46.62933065137656]"
376,5.99876925,"[0.46395914750009326, 5, 0.7536527702861469, 22.87536942451009]"
2,6.02845675,"[0.7556898093232643, 4, 3.3232225440796563, 0.6446381339021592]"
149,6.03839425,"[0.43452937266708824, 4, 0.7638066747178383, 39.22993512422124]"
56,6.0388005,"[0.8289271879390286, 2, 0.9773665196682428, 48.036623859991096]"
182,6.047363,"[0.8920113686212154, 2, 2.443691601806644, 16.41604439066828]"
567,6.053488,"[0.3023320169342186, 5, 1.9604057003097104, 4.770355998016947]"
706,6.05401925,"[0.9207103790756933, 2, 1.1794038014399277, 2.647943423259775]"
595,6.057113,"[0.33847941376002716, 2, 1.6129782977482074, 47.23466308192415]"
96,6.06064425,"[0.9367049729995189, 4, 1.5489892644156198, 24.227212721245944]"
835,6.0831755,"[0.3845878787592469, 6, 3.0522815360726523, 16.66446310370679]"
769,6.101238,"[0.7204232300943627, 4, 3.9632709326849955, 37.47984747025564]"
778,6.10326925,"[0.7506668672228206, 5, 3.707576465946202, 45.98322528667983]"
660,6.1146755,"[0.893691459543847, 6, 3.2178499804420517, 19.333889694571443]"
65,6.12289425,"[0.36776426206143037, 4, 2.125938568386224, 13.107509148459926]"
879,6.126863,"[0.6482748756304741, 4, 4.386405294937205, 29.493177887760957]"
288,6.130613,"[0.7445320763823059, 4, 0.5754663205183501, 34.31098013643544]"
325,6.13933175,"[0.6854879694972457, 2, 2.559418050837871, 38.27165099905221]"
103,6.1641755,"[0.5158520759892674, 4, 3.8927648541809967, 23.01124247317499]"
143,6.17676925,"[0.9350687889151407, 4, 3.708584249007087, 41.83521860218071]"
45,6.18645675,"[0.9968647949746713, 4, 0.8909897336664743, 5.318026000254562]"
752,6.1876755,"[0.5816967798351782, 3, 2.7848899399571967, 23.633887867910325]"
335,6.1986755,"[0.8121193254144851, 5, 1.676001127021288, 37.66912088698406]"
546,6.20839425,"[0.5785946780685173, 2, 2.1798795570152056, 42.48212422959912]"
977,6.218613,"[0.736538189366781, 3, 0.8152413271794721, 18.47644895852675]"
507,6.231488,"[0.5543154142979859, 4, 0.7633109838935643, 48.19674861378272]"
142,6.2443005,"[0.2462380539811382, 5, 1.319260699188132, 11.229172199290069]"
322,6.2610505,"[0.556703120209671, 5, 2.4133138191221515, 22.47036572556543]"
611,6.290988,"[0.8577101002968306, 6, 2.799945919897773, 30.70555718683188]"
901,6.3118005,"[0.4874743811865226, 6, 3.8014746345908996, 38.64881650073586]"
263,6.31308175,"[0.09709139142432234, 3, 1.1213199612987672, 6.021956090791765]"
851,6.3209255,"[0.5770556728282331, 3, 1.946509066820847, 4.326435993835321]"
92,6.32489425,"[0.6270185977562335, 5, 1.6235152157994008, 4.131131314196385]"
955,6.3423005,"[0.16011449068814398, 4, 4.258447969334602, 5.999040001205298]"
501,6.34833175,"[0.2601822131529974, 6, 1.7160741697429582, 24.314634742730572]"
743,6.3573005,"[0.8611479630788439, 3, 3.3449260420380558, 18.243384673813328]"
428,6.3600505,"[0.8158061114948467, 5, 2.751301809170284, 28.026411508300182]"
924,6.37026925,"[0.37090548350911273, 5, 3.0759884874898233, 44.68492263117204]"
72,6.38583175,"[0.3628110584395732, 5, 0.7414676062602661, 0.2527407555604489]"
209,6.390738,"[0.46355197815658034, 3, 3.5097874910604787, 21.820690202752303]"
739,6.45526925,"[0.3705537330875411, 4, 1.1581975273775886, 13.978491067089497]"
784,6.4648005,"[0.8806118988746111, 5, 1.1052717380958759, 42.331011318027215]"
655,6.4693005,"[0.7712225168655913, 6, 0.5020293422550008, 31.989177032113403]"
491,6.47120675,"[0.36636673753794585, 4, 2.9068104939956427, 6.444185782025332]"
218,6.47564425,"[0.9110306178693784, 6, -0.3256671748974451, 23.238781232154825]"
754,6.49001925,"[0.4706157320436312, 3, 1.4338902610237947, 16.112306076246284]"
481,6.49320675,"[0.2778794770597281, 2, 1.6966442549469534, 43.57973286774367]"
