Unnamed: 0,error,learn_rate,num_hidden_nodes,weight_range,beta,c
825,4.125145165,3.010202835,5,2.791354526,489,14
433,4.126599993,2.270172754,8,3.792087698,317,408
804,4.126717124,0.980373666,23,1.602255058,319,200
327,4.129771891,4.683908119,17,0.739119212,59,373
118,4.138655814,1.846862986,16,0.551994498,336,152
412,4.14191137,2.456593078,7,5.125720316,324,37
265,4.154748991,4.529757818,16,1.10052987,414,391
192,4.155821037,1.866691552,7,1.261190437,184,143
567,4.166963324,2.034893341,2,1.054222696,54,162
31,4.182506469,2.304048583,5,0.846648274,476,316
734,4.185602679,2.8027558,7,4.641903487,267,412
312,4.187021212,2.496259576,11,3.728891307,467,361
256,4.191223646,4.042079721,4,0.771380675,298,304
86,4.19325387,4.869693221,6,2.671356342,315,12
575,4.195426111,0.689372304,20,1.879283084,386,466
262,4.195849215,2.394535973,24,1.437164773,364,269
566,4.202188394,3.537824754,17,2.375866116,291,247
872,4.206367598,3.833064595,3,3.280484426,155,148
104,4.22130746,2.462968955,12,4.032229926,195,458
429,4.223343445,0.331363188,23,1.368905393,97,435
127,4.257641697,3.186052783,10,4.279827215,457,28
36,4.284657685,3.385922684,4,0.589179085,466,391
670,4.296911408,3.422698309,15,1.982672681,317,313
702,4.303171646,3.894221763,24,0.504334063,182,209
669,4.316909789,1.869635552,8,0.725024615,240,157
607,4.318085923,2.47976133,21,3.029654202,381,77
45,4.332759855,4.187955572,7,3.984114185,404,73
371,4.334758147,2.607921721,25,1.310419983,124,92
155,4.343151848,1.960955582,16,4.672204155,2,137
743,4.347786302,4.133390111,2,1.332295749,389,350
352,4.364484155,2.460401106,24,1.832702957,467,302
598,4.372446526,3.947601307,14,3.768474959,314,399
39,4.37326751,4.068173959,14,2.301249808,347,183
292,4.388802731,0.490553919,10,1.610945379,479,380
643,4.406455336,2.135642833,9,0.549685333,493,153
774,4.41328268,3.917212056,2,1.677432706,438,277
348,4.431685158,4.219644266,6,4.486808653,37,49
113,4.463236541,3.894824844,20,1.589842233,412,208
510,4.474061345,3.488386079,20,1.881428612,214,427
628,4.489182308,1.867964919,9,0.834873979,360,276
683,4.500483797,3.223344416,20,1.281638614,170,184
24,4.50208329,2.652702316,18,1.168283983,157,27
394,4.515404538,2.582392398,13,2.510115394,395,271
885,4.52209355,1.271031208,3,1.502775394,58,366
360,4.522646327,4.785375993,18,2.308117528,242,391
716,4.528899692,4.607059117,4,2.81348844,180,167
696,4.529798154,4.11392804,21,0.81642139,327,220
431,4.556812649,0.557807096,20,5.204917457,207,178
826,4.583097606,3.422336953,1,4.693902299,326,251
762,4.588116142,2.335260897,25,0.597957523,22,174
489,4.588362019,0.259748206,16,2.19637935,460,195
137,4.58860383,2.166621337,3,0.709335427,8,35
264,4.589494114,3.332072956,2,1.654231043,309,283
163,4.590374828,3.13989166,20,1.713484729,216,330
339,4.598534604,0.441482697,18,2.254846003,47,476
318,4.615775658,1.428711771,5,4.210653757,199,177
499,4.642856798,2.25961024,3,1.143755717,189,303
588,4.655493541,4.507510447,18,2.300054192,37,331
584,4.662840873,1.196358463,9,2.165355244,144,187
599,4.676401996,4.384237253,15,1.916593249,37,204
757,4.687866212,0.674363909,24,0.707652659,41,56
852,4.700407957,3.799468803,3,4.047951727,251,352
948,4.716156265,3.221677286,13,3.087697351,332,462
106,4.730995014,4.099991602,20,0.966073069,32,25
259,4.759592897,3.2562313,1,3.427999077,455,424
171,4.771289393,0.659972174,7,1.15602433,233,319
959,4.790394091,1.09223158,21,2.081557592,137,162
272,4.794037468,0.973743531,23,2.169726595,291,228
80,4.820029728,4.459429364,21,1.018696415,407,38
393,4.829722896,3.776127071,2,0.604190902,235,117
