,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
550,1.563731851,"[2.4227403492186688, 14, 1.7172895880776053, 499, 483]"
439,1.566932103,"[2.1881579140560365, 12, 2.1602722013278903, 491, 471]"
334,1.578746798,"[2.598900672165561, 12, 2.012773145207006, 470, 455]"
321,1.579164775,"[2.8516929574814354, 10, 1.79856043808358, 462, 482]"
653,1.580578956,"[2.9269423394767053, 11, 1.9439290156557072, 465, 462]"
449,1.581145704,"[2.704322609968451, 13, 1.9352819890352366, 467, 480]"
303,1.585183887,"[2.640669493233254, 11, 2.1606211760566696, 476, 457]"
616,1.585425289,"[2.245196998754806, 12, 1.5105376114111184, 468, 479]"
671,1.585935934,"[2.260517656115492, 11, 1.7807217195682687, 492, 472]"
474,1.5902705,"[2.0504367778388826, 13, 1.7613698371396806, 472, 494]"
93,1.595054545,"[2.139384752267364, 13, 2.205855960182398, 497, 479]"
570,1.59517696,"[2.053913325557223, 11, 2.2302837573906533, 478, 456]"
121,1.596289203,"[2.8630420186629504, 13, 1.683379755731304, 473, 458]"
229,1.597257222,"[2.651062423738783, 11, 2.0960863227415207, 483, 497]"
251,1.59826775,"[2.8227542647826933, 11, 1.500443753335678, 476, 467]"
665,1.603649243,"[2.8613171704526454, 12, 1.6674539455235824, 460, 479]"
308,1.604934849,"[2.049387250551896, 13, 1.7454123184705808, 476, 467]"
788,1.608611794,"[2.735511217698738, 12, 1.5155967679657707, 461, 481]"
136,1.611313,"[2.558760337546769, 12, 1.661285405717447, 477, 495]"
287,1.616081698,"[2.9219097684972004, 11, 1.5534176159646553, 488, 462]"
131,1.616882015,"[2.962892353338365, 13, 1.560164829125695, 500, 472]"
291,1.617432723,"[2.8710689869521415, 14, 2.114471646847713, 474, 469]"
268,1.621144196,"[2.305671107043953, 12, 2.1163111565909727, 471, 493]"
2,1.623247532,"[2.8764956418136087, 13, 1.608440579932649, 463, 475]"
157,1.624482526,"[2.931161568218726, 12, 1.5341750396149174, 486, 474]"
555,1.62641798,"[2.701751910567114, 10, 1.827838333441522, 493, 452]"
234,1.628134185,"[2.198852396682955, 13, 2.3549270230549304, 478, 456]"
354,1.629287989,"[2.3181780871324795, 13, 2.184858981586072, 481, 451]"
57,1.635255886,"[2.2673010965247533, 13, 1.5364733306252567, 454, 481]"
408,1.637785549,"[2.4626791991412986, 12, 1.9961246371528678, 456, 462]"
223,1.638038789,"[2.81881176630235, 12, 1.6473754289596878, 451, 498]"
710,1.645339985,"[2.077280985640464, 12, 1.6844015342377008, 489, 497]"
700,1.647373291,"[2.833242947801378, 13, 2.2523576902843248, 453, 476]"
302,1.64962792,"[2.575155418270186, 15, 1.5174996357587696, 471, 453]"
16,1.660455314,"[2.9706031739304146, 12, 1.5320392808394436, 461, 491]"
521,1.661088267,"[2.9214834096905373, 12, 2.306063683824619, 451, 485]"
591,1.661630468,"[2.939638303861097, 14, 1.579854726464055, 491, 500]"
694,1.664837519,"[2.418705542428082, 11, 1.7311040546143257, 499, 497]"
35,1.669574262,"[2.1664828700963032, 11, 2.133951122440436, 497, 457]"
74,1.674675285,"[2.7519151612588866, 12, 1.6926778383360135, 497, 477]"
260,1.67478678,"[2.391493488213527, 12, 2.3045115107062095, 479, 474]"
642,1.676392116,"[2.5886745150547235, 12, 1.8030412556613515, 478, 473]"
358,1.676744739,"[2.4456522148208193, 15, 1.8517834264087174, 453, 472]"
210,1.677560307,"[2.8612147114755553, 11, 1.97684858587605, 495, 459]"
485,1.679352465,"[2.4125349364357396, 10, 2.1809742658157716, 471, 481]"
352,1.685166409,"[2.9608748810505094, 14, 2.1981703677340754, 454, 497]"
246,1.687105138,"[2.3920192917270278, 12, 2.221072506417283, 479, 483]"
194,1.689133079,"[2.5718842045052543, 14, 1.5914387842049067, 499, 474]"
120,1.68921868,"[2.200794249297869, 12, 1.5181691060833287, 486, 454]"
571,1.694336018,"[2.3894331680286687, 12, 2.062370893949916, 460, 469]"
181,1.697175698,"[2.769745878590442, 12, 1.7264740091187754, 466, 472]"
641,1.698601601,"[2.230911493035843, 13, 2.2865429541083593, 495, 476]"
629,1.699010887,"[2.305952844508951, 14, 1.9813905837191652, 499, 494]"
731,1.700221835,"[2.5278019866963732, 12, 1.6105875898166249, 474, 464]"
242,1.702006988,"[2.110676091319235, 14, 1.7791811408144582, 487, 461]"
442,1.702219873,"[2.901799619416796, 12, 1.632743040888615, 455, 484]"
580,1.706030275,"[2.07586320332582, 11, 1.5205165868475747, 493, 486]"
149,1.707157952,"[2.7844666594173644, 11, 1.9555010200793195, 492, 499]"
330,1.70826256,"[2.551597239847083, 14, 1.7194952408986337, 498, 479]"
623,1.71279682,"[2.4643234848653153, 14, 1.7639153295120586, 494, 488]"
706,1.715335146,"[2.836918746976851, 10, 1.785609257258331, 484, 485]"
453,1.716677285,"[2.5514439665505524, 14, 1.832760691039655, 492, 492]"
82,1.719950156,"[2.23192326108772, 14, 2.0565567903447057, 497, 497]"
728,1.720795775,"[2.8940921364388124, 13, 1.6966344060211835, 494, 455]"
568,1.721369582,"[2.610119771469961, 11, 2.06429253125552, 461, 474]"
723,1.725082849,"[2.8441757352578847, 12, 1.5979693683194607, 479, 490]"
306,1.728723169,"[2.4213462081040222, 10, 1.9791811924777023, 474, 488]"
709,1.73837193,"[2.9971932044827767, 10, 2.2516459830004827, 490, 491]"
414,1.741137132,"[2.2464010373124843, 13, 2.4085753388336313, 485, 492]"
407,1.746623921,"[2.436332680310242, 14, 2.298136989527544, 475, 476]"
191,1.75452779,"[2.551006777162342, 11, 1.626088713674559, 480, 490]"
119,1.757375327,"[2.825869229221288, 15, 1.5983115020100276, 461, 484]"
668,1.758326261,"[2.6882967658572934, 11, 1.9667097175124382, 480, 471]"
600,1.759429482,"[2.867291995503331, 14, 2.499149887917626, 477, 480]"
559,1.762733514,"[2.097740427275002, 14, 1.6895664145947302, 481, 479]"
233,1.763483741,"[2.586598780434941, 12, 1.8119225297159962, 453, 465]"
110,1.76538386,"[2.1485016523730525, 15, 1.55904620309836, 470, 486]"
421,1.765673654,"[2.825319914766353, 14, 1.5542587176849019, 454, 493]"
674,1.768302708,"[2.020961047305166, 11, 1.9019791130463957, 472, 463]"
159,1.768550291,"[2.2035434260164757, 12, 1.7374187758721285, 499, 457]"
21,1.772315383,"[2.308676208359385, 15, 2.2175789119735447, 452, 497]"
161,1.772995705,"[2.4751495336091502, 11, 1.5306693613898834, 499, 486]"
533,1.775314019,"[2.2392026502251405, 13, 2.315196677478122, 465, 476]"
445,1.779255191,"[2.4456844435628486, 12, 2.2594320221548077, 482, 494]"
512,1.781941339,"[2.7809345818309894, 11, 2.0734456443409477, 469, 464]"
595,1.781952947,"[2.8869402067282657, 10, 1.9259777852037838, 486, 487]"
543,1.782842442,"[2.0026727882175455, 13, 1.9998114890389869, 455, 474]"
383,1.783395168,"[2.6896582991657545, 13, 2.454113329556304, 462, 492]"
92,1.783687434,"[2.0362456532357083, 12, 2.0803798381414205, 487, 472]"
174,1.784394147,"[2.1964484514953377, 10, 1.6283735378434505, 455, 481]"
572,1.786966673,"[2.936156890951832, 15, 2.3325723987105267, 453, 452]"
45,1.78937058,"[2.460327301099613, 12, 1.595396050318819, 488, 470]"
736,1.790752817,"[2.867038776797367, 12, 1.7746757564933633, 450, 484]"
258,1.790988282,"[2.24871508209631, 13, 1.5462141019583453, 463, 477]"
22,1.800468106,"[2.168439648626067, 12, 1.5390659793180648, 497, 483]"
