,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
728,1.63619451,"[2.1596657576768976, 13, 2.374827497620913, 470, 470]"
360,1.639964536,"[2.4034964412178716, 12, 1.6863230041210389, 467, 491]"
173,1.640767866,"[2.092990824727723, 15, 2.3362904016671644, 483, 481]"
500,1.647156509,"[2.6363504294193727, 14, 1.6898013943819126, 494, 488]"
676,1.656218399,"[2.1789921759760547, 13, 1.6800866447255305, 463, 477]"
163,1.658066403,"[2.675636774729226, 10, 2.2482493602736957, 474, 494]"
194,1.659552466,"[2.5393252291218364, 12, 1.564971140523664, 469, 471]"
394,1.660451797,"[2.9347823869728744, 14, 1.646552887777433, 491, 483]"
633,1.662215721,"[2.722558837804536, 10, 1.7317990550558888, 460, 483]"
254,1.669005847,"[2.195321814001402, 15, 2.1664634001004583, 499, 458]"
525,1.670325114,"[2.09522317971412, 14, 2.194300957943991, 498, 494]"
413,1.672605675,"[2.795292194912398, 12, 2.24907888685693, 486, 483]"
47,1.673302129,"[2.8082110299007423, 11, 1.5557779541261547, 456, 492]"
599,1.678801667,"[2.466286679875099, 13, 1.7521056006315323, 458, 496]"
362,1.682410734,"[2.163211751476062, 10, 1.7384780600556444, 466, 465]"
155,1.68509894,"[2.1414965642218844, 13, 1.5335348570197456, 473, 489]"
292,1.686661418,"[2.253713594818628, 11, 2.3985985070711284, 483, 454]"
482,1.687202479,"[2.7430911150716093, 11, 1.7010254590849814, 486, 474]"
347,1.687222569,"[2.2691813307569917, 10, 1.707587065135139, 461, 474]"
32,1.68843289,"[2.374169309591857, 14, 2.175755104638094, 485, 460]"
634,1.695117944,"[2.3089972928706186, 12, 2.454472431303447, 490, 468]"
445,1.697053158,"[2.212600593734009, 11, 1.9795853960597443, 478, 470]"
248,1.698301042,"[2.0760621961599903, 11, 1.59720674603323, 487, 471]"
671,1.69978344,"[2.823028758187822, 12, 2.218472296757956, 487, 494]"
779,1.700409262,"[2.2300374485996444, 12, 1.6979274860623896, 493, 482]"
749,1.701035,"[2.7260404137137124, 10, 1.7981273246901897, 497, 480]"
477,1.7018716,"[2.346891869231401, 12, 2.006484154153365, 486, 458]"
529,1.702386295,"[2.620203877793171, 14, 1.6488167788471595, 490, 468]"
534,1.704894517,"[2.1716205301354736, 11, 1.654616446919965, 494, 474]"
451,1.706995106,"[2.37886750837102, 10, 2.031947963705318, 460, 458]"
741,1.708316258,"[2.8154591317432582, 14, 1.6298899468947565, 487, 500]"
294,1.709444498,"[2.4403019015883376, 11, 1.5538859623505883, 495, 452]"
235,1.710580425,"[2.84196522727484, 12, 1.7242342876193315, 466, 451]"
265,1.710754109,"[2.4072536871356576, 12, 1.5227863706181048, 465, 467]"
133,1.711496253,"[2.000610514020339, 10, 1.9605714160713879, 491, 485]"
142,1.711826025,"[2.7142865448203244, 10, 2.1276094644550927, 460, 468]"
252,1.716911497,"[2.1399187318348116, 14, 1.8944700941744441, 489, 494]"
143,1.717062825,"[2.322947587813774, 10, 2.3166247190043907, 452, 452]"
177,1.718400763,"[2.4112620693810616, 11, 2.3191541911913998, 474, 470]"
358,1.720053979,"[2.2142460471492558, 14, 2.14543999091081, 475, 490]"
50,1.722348069,"[2.307018959990169, 10, 1.7738226722065957, 479, 498]"
61,1.722380821,"[2.450975641730911, 13, 1.7067230256922363, 464, 486]"
153,1.725131519,"[2.8619551897436146, 12, 1.9724721984875604, 473, 457]"
299,1.734580289,"[2.33597791317051, 13, 2.2334978790606037, 454, 469]"
144,1.735960392,"[2.649019538718931, 12, 1.8593048563955643, 450, 469]"
191,1.736065119,"[2.845893556335862, 10, 1.7061625034526318, 463, 499]"
31,1.739130027,"[2.862852644358011, 14, 1.780024041193063, 482, 458]"
399,1.747413214,"[2.580548041624616, 12, 1.7068568770490158, 492, 491]"
97,1.747903563,"[2.368106004649785, 13, 2.0243681356839716, 459, 485]"
762,1.749157226,"[2.1512211768081917, 15, 1.9156078950018265, 461, 487]"
496,1.755276594,"[2.4472513512927954, 14, 1.566660244755158, 500, 475]"
262,1.757462253,"[2.006062985855113, 10, 2.3309969592452644, 485, 469]"
659,1.757571978,"[2.5672906463194796, 11, 1.6878600171438107, 489, 453]"
576,1.757992793,"[2.4630203653185236, 13, 1.758109313123596, 465, 481]"
504,1.759332249,"[2.442926397054082, 12, 1.64837646313429, 451, 471]"
227,1.760258613,"[2.23641656583207, 12, 1.972088008085865, 479, 464]"
623,1.761696944,"[2.7234954313653574, 13, 2.200124680013128, 460, 500]"
218,1.767593731,"[2.5284945066419025, 12, 1.6157556858557578, 468, 484]"
317,1.772172623,"[2.9559293883861777, 13, 1.8227187274534222, 493, 452]"
721,1.77284564,"[2.711156687815866, 11, 1.8894632102553615, 451, 458]"
649,1.781664306,"[2.0099661801393793, 15, 1.7418802659765085, 467, 461]"
526,1.783848507,"[2.76655596961136, 11, 2.1969784409501067, 490, 497]"
258,1.790325552,"[2.153176945026054, 11, 1.6118553300213556, 459, 472]"
62,1.79061937,"[2.8530900504360655, 12, 2.4164605505114705, 499, 464]"
625,1.791319056,"[2.9215387127454937, 10, 2.327208831967034, 474, 499]"
564,1.791824308,"[2.951498602228921, 10, 1.7605516787985986, 465, 462]"
266,1.793189298,"[2.2786143228084383, 12, 2.2180508215001127, 482, 452]"
485,1.793359032,"[2.287070716650575, 15, 1.670384935123868, 451, 461]"
185,1.794138253,"[2.690449545366438, 11, 1.5468615146315394, 481, 470]"
86,1.795369076,"[2.0316655831544796, 14, 1.6427058068333722, 496, 486]"
257,1.800343878,"[2.2710012221014497, 14, 1.5122256502382478, 475, 480]"
53,1.806908983,"[2.1145998625104268, 11, 2.1575942685643787, 493, 473]"
561,1.807086665,"[2.165617001411675, 11, 1.8957204364383835, 474, 484]"
205,1.807783633,"[2.5961644245661537, 13, 2.4794884627019784, 493, 497]"
286,1.808798386,"[2.6420073264155386, 14, 1.8200820031837504, 477, 473]"
314,1.809353154,"[2.208153163429708, 12, 2.376667035643348, 474, 479]"
652,1.811417886,"[2.5640969185734073, 15, 1.9539030315404147, 457, 452]"
170,1.812124201,"[2.493252117708365, 12, 1.8057132798139297, 483, 495]"
737,1.813448054,"[2.0683127355704745, 11, 2.040832037440283, 495, 478]"
770,1.816345039,"[2.8230116702702555, 14, 1.8267447430424448, 459, 499]"
618,1.818657941,"[2.1387623110194345, 13, 1.591017594171783, 490, 482]"
604,1.820817204,"[2.7915319891568027, 11, 1.601479137149868, 493, 457]"
664,1.822760438,"[2.65415026571062, 11, 2.0283739598538997, 469, 492]"
10,1.825060772,"[2.5462337393245065, 15, 2.041688025024125, 497, 450]"
668,1.825117481,"[2.3799017940946783, 15, 2.1270273187442252, 479, 467]"
712,1.825672238,"[2.899389597603919, 15, 1.627115505888343, 450, 459]"
743,1.826224709,"[2.0469846174625106, 11, 1.7857796518829725, 468, 489]"
45,1.826938652,"[2.9348731074859025, 13, 1.518739621070643, 472, 472]"
268,1.828457513,"[2.273374796671083, 12, 1.5229117982078044, 475, 473]"
147,1.828629893,"[2.62396722924193, 12, 1.945441690468323, 460, 475]"
598,1.829370659,"[2.5169402187981857, 10, 1.649698663023219, 457, 486]"
495,1.837301846,"[2.3323820890302986, 13, 1.61752324864321, 473, 499]"
386,1.83893643,"[2.229841803560993, 14, 1.5872176753625575, 457, 463]"
614,1.839422438,"[2.9285491143890963, 12, 2.478524820695079, 497, 451]"
549,1.839462296,"[2.8340598995026642, 14, 2.079316476950998, 492, 481]"
326,1.842993857,"[2.2839752465574032, 11, 2.4448958368753804, 477, 496]"
456,1.844578769,"[2.040494188423122, 13, 1.7927654611019546, 477, 450]"
381,1.846243875,"[2.3183378988367505, 11, 2.219393485530856, 459, 467]"
41,1.847828557,"[2.3876237496087294, 14, 1.8677092264102042, 492, 488]"
117,1.850111228,"[2.1944635074975474, 10, 2.079252653065221, 452, 452]"
174,1.851982596,"[2.347646256381149, 11, 2.4717450227124496, 493, 498]"
478,1.852145936,"[2.3590428794602953, 11, 2.094838337355727, 483, 466]"
332,1.856423229,"[2.251596004395336, 11, 1.5600785421783163, 459, 483]"
12,1.864818219,"[2.8787512733539664, 14, 2.1274972766599887, 458, 462]"
327,1.865467644,"[2.7338284292213317, 11, 1.5263713396369027, 471, 473]"
554,1.86577682,"[2.555886754108277, 13, 1.5741479328162142, 460, 454]"
3,1.865885729,"[2.1445013983666974, 12, 2.0835326240300076, 467, 461]"
438,1.866040779,"[2.0023358355082936, 11, 2.3004400158999125, 459, 469]"
493,1.866541,"[2.3158232483450285, 13, 1.60160309680049, 487, 480]"
523,1.870698468,"[2.467612394494225, 10, 1.5112329708832708, 488, 491]"
577,1.871895974,"[2.827489823239915, 11, 2.3978819474240605, 499, 471]"
92,1.872093635,"[2.878043116402906, 11, 1.8109365602875571, 499, 499]"
342,1.873516141,"[2.791168737377699, 13, 1.6588376995476535, 484, 452]"
271,1.873855587,"[2.769034550450431, 14, 2.2027470227200054, 450, 469]"
622,1.875069142,"[2.9374439085514084, 13, 1.6331977566197056, 495, 479]"
333,1.885187106,"[2.4746160996157123, 13, 1.7363629816816866, 456, 466]"
240,1.890005902,"[2.565755158584393, 13, 2.0723666183757588, 498, 451]"
100,1.891364607,"[2.097472348805309, 11, 1.6375556812597105, 470, 483]"
135,1.894773161,"[2.3528747992877257, 12, 2.002592861015448, 464, 456]"
787,1.89627655,"[2.266988951697556, 12, 2.086187471693833, 469, 480]"
730,1.900687041,"[2.4686993000768966, 12, 1.625454425509599, 488, 497]"
766,1.901013337,"[2.0175160694535985, 15, 1.7400327105574427, 468, 500]"
565,1.902683422,"[2.105691405809072, 11, 2.1365334263579667, 465, 464]"
744,1.903487297,"[2.7140615569735616, 12, 2.2912405502333146, 492, 460]"
437,1.903800724,"[2.1201486046229183, 15, 1.9704997399932194, 459, 499]"
190,1.908528604,"[2.1324887169189837, 10, 2.301104060361512, 477, 481]"
771,1.91006973,"[2.8398848951987516, 13, 1.9010161695753962, 483, 461]"
372,1.921245722,"[2.759651803782117, 14, 2.034784292873135, 499, 469]"
279,1.92157028,"[2.873822747135207, 11, 1.9230466120557197, 482, 474]"
465,1.923086145,"[2.585581207137794, 11, 2.099794544647137, 484, 500]"
430,1.924140704,"[2.1766373436217408, 11, 1.6232145282911377, 492, 460]"
764,1.924721917,"[2.430026954189632, 15, 1.919279611178362, 454, 495]"
309,1.92480259,"[2.1989047022308683, 11, 1.8295280257103241, 465, 453]"
134,1.92587528,"[2.939510689822843, 13, 1.9652738703300026, 475, 496]"
488,1.928062431,"[2.6990310068395096, 14, 1.686996873237494, 462, 484]"
385,1.9303296,"[2.316946126598424, 12, 2.4385582554668703, 455, 458]"
602,1.930390484,"[2.9668953743513833, 13, 1.9405454786144976, 457, 463]"
535,1.930809308,"[2.5452965863686354, 11, 2.3137658268957777, 470, 471]"
256,1.933964397,"[2.502529830981807, 12, 2.140134959748557, 483, 465]"
196,1.935756917,"[2.41218510205619, 15, 2.2805706518166353, 485, 491]"
522,1.937145186,"[2.72520504070414, 12, 2.2042366164552347, 462, 474]"
67,1.940056142,"[2.9712199683664755, 10, 2.1202713480009807, 454, 484]"
54,1.941163454,"[2.297145021255544, 11, 2.319834494690644, 459, 485]"
725,1.941323533,"[2.332240502354633, 14, 1.8633362480407296, 474, 480]"
306,1.941584206,"[2.5064934835402988, 13, 1.844727855523442, 457, 461]"
401,1.941608703,"[2.5692458717911033, 11, 2.429540304609706, 472, 498]"
21,1.942726065,"[2.30667579765667, 11, 2.44460857131524, 499, 469]"
57,1.945231523,"[2.736776980772985, 12, 1.8606141948581616, 490, 466]"
343,1.947961297,"[2.7451456729366566, 11, 2.1135264817945236, 478, 455]"
